Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""bulkWritesMany.add(new UpdateManyModel<>(SingleTypeInfoDao.createFiltersWithoutSubType(sti1)`Updates.set(""count""`100)`new UpdateOptions().upsert(false)));"" is 154.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 200,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 200,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 200,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 200,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 200,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 200,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 100,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 100,245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Magic Number,The method contains a magic number: 2,245
akto,com.akto.dao,TestSingleTypeInfoDao,testAddingIsUrlParam,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId=new SingleTypeInfo.ParamId(""url""`""GET""`200`false`""param#key""`SingleTypeInfo.EMAIL`0`false);"" is 122.",301
akto,com.akto.dao,TestSingleTypeInfoDao,testAddingIsUrlParam,Long Statement,"The length of the statement ""SingleTypeInfo info=new SingleTypeInfo(paramId`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 199.",301
akto,com.akto.dao,TestSingleTypeInfoDao,testAddingIsUrlParam,Magic Number,The method contains a magic number: 200,301
akto,com.akto.dao,TestSingleTypeInfoDao,testAddingIsUrlParam,Magic Number,The method contains a magic number: 2,301
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId=new SingleTypeInfo.ParamId(""url""`""GET""`200`false`""param#key""`SingleTypeInfo.EMAIL`0`false);"" is 122.",336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Long Statement,"The length of the statement ""SingleTypeInfo singleTypeInfo=new SingleTypeInfo(paramId`new HashSet<>()`new HashSet<>()`100`1000`30`new CappedSet<>()`SingleTypeInfo.Domain.RANGE`-1000`10000);"" is 160.",336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 200,336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 100,336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 1000,336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 30,336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 1000,336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 10000,336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 1000,336
akto,com.akto.dao,TestSingleTypeInfoDao,testInsert,Magic Number,The method contains a magic number: 100,336
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 1000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 1000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 2000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 2000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 3000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 1000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 3000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 3,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 2,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 1000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 2000,360
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Magic Number,The method contains a magic number: 3000,360
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId=new SingleTypeInfo.ParamId(url`""GET""`200`false`param`SingleTypeInfo.GENERIC`apiCollectionId`false);"" is 130.",387
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Long Statement,"The length of the statement ""return new SingleTypeInfo(paramId`new HashSet<>()`new HashSet<>()`100`1000`30`new CappedSet<>()`SingleTypeInfo.Domain.RANGE`-1000`10000);"" is 137.",387
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Magic Number,The method contains a magic number: 200,387
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Magic Number,The method contains a magic number: 100,387
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Magic Number,The method contains a magic number: 1000,387
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Magic Number,The method contains a magic number: 30,387
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Magic Number,The method contains a magic number: 1000,387
akto,com.akto.dao,TestSingleTypeInfoDao,generateSTIUsingCollectionId,Magic Number,The method contains a magic number: 10000,387
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 1000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 1000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 123,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 2000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 2000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 456,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 3000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 3000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 4000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 4000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 4000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 3,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 2000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 3000,16
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Magic Number,The method contains a magic number: 4000,16
akto,com.akto.dao,TestAccountSettingsDao,testUpdateOnboardingFlag,Magic Number,The method contains a magic number: 1_000_000,16
akto,com.akto.dao,DaoConnect,setup,Magic Number,The method contains a magic number: 222222,12
akto,com.akto.dao,TestUsersDao,testGetFirstUser,Magic Number,The method contains a magic number: 1000,12
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 1_000_000,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 8,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 10,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 2,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 9,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 3,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 23,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 29,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 17,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 19,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 25,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 29,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 21,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 38,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 33,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 33,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 33,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 33,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 33,21
akto,com.akto.dao,VCDemoData,main,Magic Number,The method contains a magic number: 33,21
akto,com.akto.dao,VCDemoData,fill,Long Parameter List,The method has 6 parameters. ,70
akto,com.akto.dao,VCDemoData,fill,Long Statement,"The length of the statement ""SingleTypeInfo sit=new SingleTypeInfo(paramId`null`null`0`Context.now()`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 188.",70
akto,com.akto.dao,VCDemoData,fill,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId1=new SingleTypeInfo.ParamId(url`""GET""`200`false`i + """"`SingleTypeInfo.GENERIC`acid`false);"" is 121.",70
akto,com.akto.dao,VCDemoData,fill,Long Statement,"The length of the statement ""SingleTypeInfo sit1=new SingleTypeInfo(paramId1`null`null`0`Context.now()`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 190.",70
akto,com.akto.dao,VCDemoData,fill,Magic Number,The method contains a magic number: 200,70
akto,com.akto.dao,VCDemoData,fill,Magic Number,The method contains a magic number: 200,70
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Long Statement,"The length of the statement ""sampleDataList=SampleDataDao.instance.fetchSampleDataPaginated(123`lastSampleData.getId().getUrl()`lastSampleData.getId().getMethod().name()`limit`sliceLimit);"" is 159.",18
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Magic Number,The method contains a magic number: 10,18
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Magic Number,The method contains a magic number: 123,18
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Magic Number,The method contains a magic number: 200,18
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Magic Number,The method contains a magic number: 123,18
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Magic Number,The method contains a magic number: 2,18
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Magic Number,The method contains a magic number: 123,18
akto,com.akto.dao,UsersDao,insertSignUp,Long Statement,"The length of the statement ""this.getMCollection().updateOne(eq(""login""`email)`combine(set(""signupInfoMap""`infoMap)`set(""accounts""`accountAccessMap)));"" is 122.",42
akto,com.akto.dao,UsersDao,getUsernames,Long Statement,"The length of the statement ""MongoCursor<User> cursor=instance.getMCollection().find(in(""_id""`userIds)).projection(new BasicDBObject(""name""`1)).cursor();"" is 124.",97
akto,com.akto.dao,UsersDao,getUserInfo,Long Statement,"The length of the statement ""User user=instance.getMCollection().find(eq(""_id""`user_id)).projection(new BasicDBObject(""_id""`1).append(""login""`1).append(""name""`1)).first();"" is 142.",110
