Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
akto,com.akto.parsers,TestDBSync,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.parsers.HttpCallParser; com.akto.runtime.APICatalogSync; com.akto.dto.HttpResponseParams; com.akto.runtime.URLAggregator; com.akto.dto.HttpRequestParams
akto,com.akto.parsers,TestDBSync,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
akto,com.akto.parsers,TestDBSync,Law of Demeter violation,The tool detected the smell in this method (testParameterizedURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDBSync,Law of Demeter violation,The tool detected the smell in this method (testParameterizedURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDBSync,Law of Demeter violation,The tool detected the smell in this method (testParameterizedURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDBSync,Law of Demeter violation,The tool detected the smell in this method (testInvalidMergeParameterizedURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDBSync,Law of Demeter violation,The tool detected the smell in this method (testInvalidMergeParameterizedURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDBSync,Law of Demeter violation,The tool detected the smell in this method (testInvalidMergeParameterizedURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDBSync,Law of Demeter violation,The tool detected the smell in this method (testInvalidMergeParameterizedURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDump2,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.dto.HttpResponseParams; com.akto.runtime.APICatalogSync; com.akto.dto.type.URLTemplate; com.akto.dto.type.RequestTemplate; com.akto.runtime.URLAggregator; com.akto.dto.HttpRequestParams; com.akto.dto.type.URLStatic
akto,com.akto.parsers,TestDump2,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (simpleTestForSingleCollection) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (simpleTestForSingleCollection) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getMethod; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (simpleTestForSingleCollection) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpResponseParams.getRequestParams; com.akto.dto.HttpRequestParams.getURL
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (getParamsTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (urlsTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getMethod; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (urlsTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpResponseParams.getRequestParams; com.akto.dto.HttpRequestParams.getURL
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (urlsTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (urlsTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpResponseParams.getRequestParams; com.akto.dto.HttpRequestParams.getURL
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (testParameterizedURLsTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (repetitiveKeyTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getMethod; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (repetitiveKeyTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (repetitiveKeyTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpResponseParams.getRequestParams; com.akto.dto.HttpRequestParams.getURL
akto,com.akto.parsers,TestDump2,Law of Demeter violation,The tool detected the smell in this method (repetitiveKeyTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getApiCollectionId; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,TestMergingNew,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.parsers.HttpCallParser; com.akto.dto.HttpResponseParams; com.akto.dto.HttpRequestParams
akto,com.akto.parsers,TestMergingNew,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testMultipleIntegerMerging) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (getStaticURLsSize) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testmultipleUUIDForceMerge) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testmultipleUUIDForceMerge) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testUUIDForceMerge) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testUUIDForceMerge) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testNonJsonResponsePayloadPayload) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testNonJsonResponsePayloadPayload) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testEmptyResponsePayload) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testEmptyResponsePayload) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testStrictIntoTemplate) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.runtime.APICatalogSync.getDbState; com.akto.dto.type.APICatalog.setTemplateURLToMethods
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testStrictIntoTemplate) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testStrictIntoTemplate) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testStrictIntoTemplate) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (test20percentCondition) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (test20percentCondition) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getStrictURLToMethods; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testSampleSizeAndDomainOfSti) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testSampleSizeAndDomainOfSti) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.SingleTypeInfo.getValues; com.akto.types.CappedSet.getElements
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testSampleSizeAndDomainOfSti) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.SingleTypeInfo.getValues; com.akto.types.CappedSet.getElements
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testMinMaxAndLastSeenNew) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.runtime.APICatalogSync.getDbState; com.akto.dto.type.APICatalog.getStrictURLToMethods
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testMinMaxAndLastSeenNew) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.runtime.APICatalogSync.getDbState; com.akto.dto.type.APICatalog.getStrictURLToMethods
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testMinMaxAndLastSeenNew) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testMinMaxAndLastSeenNew) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testMinMaxAndLastSeenNew) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getTemplateURLToMethods; com.akto.runtime.APICatalogSync.getDbState
akto,com.akto.parsers,TestMergingNew,Law of Demeter violation,The tool detected the smell in this method (testDbUpdateParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.runtime.APICatalogSync.getDbState; com.akto.dto.type.APICatalog.getStrictURLToMethods
akto,com.akto.parsers,TrafficMetricsUpdateTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.parsers.HttpCallParser; com.akto.dto.traffic_metrics.TrafficMetrics
akto,com.akto.runtime,APICatalogSync,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.log.LoggerMaker; com.akto.dto.type.URLTemplate; com.akto.dto.type.RequestTemplate; com.akto.dto.type.APICatalog; com.akto.dto.type.SingleTypeInfo; com.akto.runtime.URLAggregator; com.akto.dto.type.KeyTypes; com.akto.dto.type.URLStatic; com.akto.dto.BackwardCompatibility
akto,com.akto.runtime,APICatalogSync,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: mergeAsyncOutside; STRING_MERGING_THRESHOLD
akto,com.akto.runtime,APICatalogSync,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 32
akto,com.akto.runtime,APICatalogSync,Law of Demeter violation,The tool detected the smell in this method (extractUserId) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getHeaders; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.runtime,APICatalogSync,Law of Demeter violation,The tool detected the smell in this method (getDBUpdatesForParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.SingleTypeInfo.getValues; com.akto.types.CappedSet.count
akto,com.akto.runtime,APICatalogSync,Law of Demeter violation,The tool detected the smell in this method (getDBUpdatesForParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.SingleTypeInfo.getValues; com.akto.types.CappedSet.count
akto,com.akto.runtime,APICatalogSync,Law of Demeter violation,The tool detected the smell in this method (getDBUpdatesForParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.SingleTypeInfo.getValues; com.akto.types.CappedSet.getElements
akto,com.akto.runtime,APICatalogSync,Law of Demeter violation,The tool detected the smell in this method (buildFromDB) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.APICatalog.getDeletedInfo; com.akto.runtime.APICatalogSync.getDelta
akto,com.akto.runtime,APICatalogSync.DbUpdateReturn,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
akto,com.akto.runtime,Flow,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.runtime.MarkovSync; com.akto.runtime.RelationshipSync
akto,com.akto.runtime,KafkaHealthMetricSyncTask,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.log.LoggerMaker; com.akto.dto.KafkaHealthMetric
akto,com.akto.runtime,Main,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.parsers.HttpCallParser; com.akto.log.LoggerMaker; com.akto.dto.APIConfig; com.akto.runtime.policies.AktoPolicies; com.akto.kafka.Kafka
akto,com.akto.runtime,Main,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: GROUP_NAME; VXLAN_ID; VPC_CIDR; sync_threshold_time; kafkaProducer; scheduler
akto,com.akto.runtime,Main,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
akto,com.akto.runtime,Main.AccountInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
akto,com.akto.runtime,MarkovSync,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.log.LoggerMaker; com.akto.dto.Markov
akto,com.akto.runtime,PayloadAnalyzer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.log.LoggerMaker; com.akto.dto.type.EndpointInfo
akto,com.akto.runtime,PayloadAnalyzer,Law of Demeter violation,The tool detected the smell in this method (init) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.KeyTypes.getOccurrences; com.akto.dto.type.RequestTemplate.getParameters
akto,com.akto.runtime,PayloadAnalyzer,Law of Demeter violation,The tool detected the smell in this method (run) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.KeyTypes.getOccurrences; com.akto.dto.type.RequestTemplate.getParameters
akto,com.akto.runtime,RelationshipSync,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.log.LoggerMaker; com.akto.dto.Relationship
akto,com.akto.runtime,URLAggregator,Law of Demeter violation,The tool detected the smell in this method (addURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpResponseParams.getRequestParams; com.akto.dto.HttpRequestParams.getURL
akto,com.akto.runtime,URLAggregator,Law of Demeter violation,The tool detected the smell in this method (addURL) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getMethod; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.runtime,MarkovTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.runtime.MarkovSync
akto,com.akto.runtime,RelationshipTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.runtime.RelationshipSync
akto,com.akto.runtime,TestApiCatalogSync,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.dto.SensitiveParamInfo; com.akto.dto.type.RequestTemplate; com.akto.dto.type.SingleTypeInfo; com.akto.dto.ApiInfo; com.akto.dto.FilterSampleData; com.akto.dto.SensitiveSampleData
akto,com.akto.runtime,TestApiCatalogSync,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
akto,com.akto.runtime,TestApiCatalogSync,Law of Demeter violation,The tool detected the smell in this method (validateSubTypeAndMinMax) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.type.SingleTypeInfo.getValues; com.akto.types.CappedSet.getElements
akto,com.akto.runtime.merge,MergeOnHostOnly,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
akto,com.akto.runtime.merge,MergeOnHostOnly,Law of Demeter violation,The tool detected the smell in this method (updateAllCollections) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.traffic.Key.setApiCollectionId; com.akto.dto.traffic.SampleData.getId
akto,com.akto.runtime.merge,MergeOnHostOnly,Law of Demeter violation,The tool detected the smell in this method (updateAllCollections) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.traffic.Key.setApiCollectionId; com.akto.dto.traffic.TrafficInfo.getId
akto,com.akto.runtime.merge,MergeSimilarUrls,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.dto.type.SingleTypeInfo
akto,com.akto.runtime.merge,MergeSimilarUrls,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
akto,com.akto.runtime.merge,TestMergeOnHostOnly,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.runtime.merge.MergeOnHostOnly; com.akto.dto.ApiCollection
akto,com.akto.runtime.merge,TestMergeOnHostOnly,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
akto,com.akto.runtime.policies,AktoPolicies,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.runtime.policies.AktoPolicyNew
akto,com.akto.runtime.policies,AktoPolicyNew,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.dto.ApiInfoCatalog; com.akto.log.LoggerMaker; com.akto.runtime.policies.ApiAccessTypePolicy; com.akto.dto.PolicyCatalog; com.akto.dto.ApiInfo; com.akto.dto.AccountSettings; com.akto.dto.FilterSampleData
akto,com.akto.runtime.policies,AktoPolicyNew,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
akto,com.akto.runtime.policies,AktoPolicyNew.UpdateReturn,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
akto,com.akto.runtime.policies,ApiAccessTypePolicy,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: X_FORWARDED_FOR
akto,com.akto.runtime.policies,ApiAccessTypePolicy,Law of Demeter violation,The tool detected the smell in this method (findApiAccessType) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getHeaders; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.runtime.policies,AuthPolicy,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AUTHORIZATION_HEADER_NAME; COOKIE_NAME
akto,com.akto.runtime.policies,AuthPolicy,Law of Demeter violation,The tool detected the smell in this method (findAuthType) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getHeaders; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.runtime.policies,AuthPolicy,Law of Demeter violation,The tool detected the smell in this method (findAuthType) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getPayload; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.runtime.policies,ApiAccessTypePolicyTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.runtime.policies.ApiAccessTypePolicy; com.akto.dto.ApiInfo
akto,com.akto.runtime.policies,AuthPolicyTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.dto.HttpRequestParams; com.akto.dto.ApiInfo
akto,com.akto.runtime.policies,AuthPolicyTest,Law of Demeter violation,The tool detected the smell in this method (testCustomAuthTypePayload) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.setPayload; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.runtime.policies,SetFieldPolicyTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.dto.runtime_filters.RuntimeFilter; com.akto.dto.ApiInfo
akto,com.akto.runtime.policies,TestAktoPolicy,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.parsers.HttpCallParser; com.akto.dto.HttpResponseParams; com.akto.runtime.policies.AktoPolicyNew; com.akto.runtime.APICatalogSync; com.akto.dto.HttpRequestParams; com.akto.dto.ApiInfo; com.akto.dto.FilterSampleData; com.akto.dto.type.URLStatic
akto,com.akto.runtime.policies,TestAktoPolicy,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
akto,com.akto.runtime.policies,TestAktoPolicy,Law of Demeter violation,The tool detected the smell in this method (test1) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.runtime.policies.AktoPolicyNew.getApiInfoCatalogMap; com.akto.dto.ApiInfoCatalog.getStrictURLToMethods
akto,com.akto.runtime.policies,TestAktoPolicy,Law of Demeter violation,The tool detected the smell in this method (test1) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.ApiInfoCatalog.getTemplateURLToMethods; com.akto.runtime.policies.AktoPolicyNew.getApiInfoCatalogMap
akto,com.akto.runtime.policies,TestAktoPolicy,Law of Demeter violation,The tool detected the smell in this method (test1) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.runtime.policies.AktoPolicyNew.getApiInfoCatalogMap; com.akto.dto.ApiInfoCatalog.getStrictURLToMethods
akto,com.akto.runtime.policies,TestAktoPolicy,Law of Demeter violation,The tool detected the smell in this method (test1) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.ApiInfoCatalog.getTemplateURLToMethods; com.akto.runtime.policies.AktoPolicyNew.getApiInfoCatalogMap
akto,com.akto.runtime.policies,TestAktoPolicy,Law of Demeter violation,The tool detected the smell in this method (test1) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.ApiInfoCatalog.getTemplateURLToMethods; com.akto.runtime.policies.AktoPolicyNew.getApiInfoCatalogMap
